iso3c,economist_excess_deaths,economist_estimated,month,who_excess_deaths,who_estimated,pop
AFG,-322.3086817819609,TRUE,2020-01-01,1296,TRUE,38928341
AFG,-879.1368725270252,TRUE,2020-02-01,537,TRUE,38928341
AFG,-745.864513875398,TRUE,2020-03-01,-388,TRUE,38928341
AFG,-672.9910058095741,TRUE,2020-04-01,-1209,TRUE,38928341
AFG,-623.8028811808072,TRUE,2020-05-01,127,TRUE,38928341
AFG,3274.6758651228033,TRUE,2020-06-01,2416,TRUE,38928341
AFG,3753.70626348502,TRUE,2020-07-01,3248,TRUE,38928341
AFG,3383.5190565294724,TRUE,2020-08-01,1148,TRUE,38928341
AFG,2740.2679690726072,TRUE,2020-09-01,1213,TRUE,38928341
AFG,2631.9290973712523,TRUE,2020-10-01,2549,TRUE,38928341
AFG,2837.6059887652373,TRUE,2020-11-01,4561,TRUE,38928341
AFG,2450.570646069024,TRUE,2020-12-01,3895,TRUE,38928341
AFG,1954.1872100660426,TRUE,2021-01-01,1644,TRUE,38928341
AFG,739.8219726103988,TRUE,2021-02-01,-273,TRUE,38928341
AFG,620.8642738416602,TRUE,2021-03-01,-24,TRUE,38928341
AFG,3564.0617567420554,TRUE,2021-04-01,1511,TRUE,38928341
AFG,5937.244468582306,TRUE,2021-05-01,2465,TRUE,38928341
AFG,8506.670064307216,TRUE,2021-06-01,5523,TRUE,38928341
AFG,7652.26901454001,TRUE,2021-07-01,5460,TRUE,38928341
AFG,7124.829785852477,TRUE,2021-08-01,3001,TRUE,38928341
AFG,4677.884502730959,TRUE,2021-09-01,1266,TRUE,38928341
AFG,3677.50414529752,TRUE,2021-10-01,1299,TRUE,38928341
AFG,2662.3284255060644,TRUE,2021-11-01,1726,TRUE,38928341
AFG,451.13211825420683,TRUE,2021-12-01,397.93548387096774,TRUE,38928341
AGO,416.6949271043508,TRUE,2020-01-01,1159,TRUE,32866268
AGO,200.0344592781514,TRUE,2020-02-01,1045,TRUE,32866268
AGO,-33.448337118175665,TRUE,2020-03-01,970,TRUE,32866268
AGO,-553.5229933604,TRUE,2020-04-01,-1257,TRUE,32866268
AGO,-187.98697848523315,TRUE,2020-05-01,-977,TRUE,32866268
AGO,600.4084235215335,TRUE,2020-06-01,-740,TRUE,32866268
AGO,1304.399097061425,TRUE,2020-07-01,111,TRUE,32866268
AGO,996.0664594254839,TRUE,2020-08-01,809,TRUE,32866268
AGO,137.48211404222872,TRUE,2020-09-01,1090,TRUE,32866268
AGO,110.89322835383817,TRUE,2020-10-01,917,TRUE,32866268
AGO,1971.217324361085,TRUE,2020-11-01,970,TRUE,32866268
